,Year,State,Overall_Homeless,average_debt,population,total_poverty_rate,total_drug_rate
190,2015,Vermont,0.002433645994790751,1.55,625810,0.000973138812099519,0.00028283344785158434
191,2015,Washington,0.0027093933869259037,1.78,7167287,0.0010035875499334686,0.00023411926995528434
192,2015,Wisconsin,0.0010510284096952817,1.175,5762927,0.0009953275479630402,0.0001849754473724897
193,2015,West Virginia,0.0009954799243977754,1.28,1843332,0.0009737800895335187,0.00015732380276586096
194,2015,Wyoming,0.0013608713669594757,1.28,586389,0.0009788723867603247,0.00016030314347642948
195,2014,Alaska,0.00242037784485975,1.55,737075,0.000941559542787369,0.00025641895329511923
196,2014,Alabama,0.00094162833366056,1.55,4843737,0.0009837445757273774,0.0001379100475521276
197,2014,Arkansas,0.0009889654229258758,1.28,2968759,0.0009738075741412489,0.00015359953435088535
198,2014,Arizona,0.0015587699337266572,1.78,6732873,0.000988730962250439,0.0001935280822911705
199,2014,California,0.002953141426479887,1.95,38586706,0.0010021586190850289,0.00021121263888138053
200,2014,Colorado,0.0018734690956999326,1.78,5352637,0.0010043647645076622,0.0002903241897404961
201,2014,Connecticut,0.0012375903753848003,1.45,3595697,0.0009948001736520067,0.00022248815737254836
202,2014,Delaware,0.0009655664638727039,1.55,933131,0.0009955729688543196,0.0001864689952428973
203,2014,Florida,0.002092386979270551,1.95,19853880,0.0009917456940406611,0.00018399426207874734
204,2014,Georgia,0.0016404195565892618,1.55,10071204,0.000987766705946975,0.00017276980984597272
205,2014,Iowa,0.0010036510136328728,1.175,3110643,0.0009895060281748822,0.0001465934856555381
206,2014,Idaho,0.0012890198058138223,1.95,1632248,0.0009839191103312732,0.0001611274757267278
207,2014,Illinois,0.0010172220733852735,1.36,12885092,0.0009910678169779462,0.00017795759626706585
208,2014,Indiana,0.0009052429958130805,1.28,6596019,0.0009808946881444702,0.0001848084427895068
209,2014,Kansas,0.000959039733467592,1.175,2901861,0.0009824729716550861,0.0001692017639714652
210,2014,Kentucky,0.00115214154791315,1.28,4416992,0.0009732867978932269,0.00016979881331005353
211,2014,Louisiana,0.00099140367348854,1.28,4645938,0.0009793501333853357,0.00016961052859508673
212,2014,Massachusetts,0.003139309230754676,1.36,6764864,0.0009834639691204436,0.00024508992346335416
213,2014,Maine,0.0020477502916504222,1.78,1331217,0.0009765500290335836,0.00024113273793829255
214,2014,Michigan,0.0012310671944001797,1.28,9932033,0.0009960699888935125,0.00019532758298326233
215,2014,Minnesota,0.0015363129772322341,1.45,5452665,0.000993459161712667,0.0001800954212298023
216,2014,Missouri,0.0012018227039195396,1.36,6059130,0.000981989163460761,0.00018484501900437853
217,2014,Mississippi,0.0007440108132245416,1.45,2991892,0.000989674760987362,0.00012868111549481064
218,2014,Montana,0.001706339466702912,1.78,1022657,0.000985667726324662,0.00020828097788408038
219,2014,North Carolina,0.0011563508983078394,1.66,9937295,0.0009884983790860592,0.00016614179210740952
220,2014,North Dakota,0.0017029087522470814,0.7550000000000001,738736,0.000989528058738169,0.0001610859630503996
221,2014,Nebraska,0.0016096129960557566,1.175,1879955,0.0009963004433616762,0.00016383370878558264
222,2014,New Hampshire,0.001031285576916591,1.66,1334257,0.0009878156906802812,0.00024807814386583693
223,2014,New Jersey,0.0013161875962598214,1.66,8867277,0.0010079757291894683,0.00017310838490779075
224,2014,New Mexico,0.0013137272537646467,1.66,2090236,0.0009711822014356274,0.00020045583369533392
225,2014,Nevada,0.003044412162749407,1.78,2818935,0.001000023058353598,0.00018517631658764746
226,2014,New York,0.004100556284548993,0.7550000000000001,19653431,0.0010003342418939472,0.00021426284296110945
227,2014,Ohio,0.0010186469339399321,1.28,11606573,0.0009916794561150824,0.0001763655818129951
228,2014,Oklahoma,0.001080381017981345,1.175,3879187,0.0009610261119146873,0.00016137401986550273
229,2014,Oregon,0.0030674978129830006,1.78,3965447,0.0009973654924652882,0.00025369145016942605
230,2014,Pennsylvania,0.0011986030446846845,1.28,12792392,0.000986523865122332,0.00018112328014963894
231,2014,Rhode Island,0.0011263488974558712,1.66,1056511,0.0009900512157469256,0.0002517721064901359
232,2014,South Carolina,0.001047679463535078,1.78,4826858,0.000986977449927054,0.000177962558666528
233,2014,South Dakota,0.001041580849035508,1.28,849670,0.0009956806760271636,0.0001659467793378606
234,2014,Tennessee,0.0014385868569543488,1.36,6544617,0.0009925714522331865,0.00015829803333029268
235,2014,Texas,0.001056814997330425,0.7550000000000001,26963092,0.0009895007590375762,0.00015061329019683647
236,2014,Utah,0.0010485558618901164,1.78,2938327,0.0009964854149997601,0.00012524133631144525
237,2014,Virginia,0.0008442137087318395,1.95,8315430,0.0009929733038459827,0.00016307034031914165
238,2014,Vermont,0.00249163727259215,1.55,625693,0.0009829101492265376,0.0002701005125516827
239,2014,Washington,0.002613095146163722,1.95,7057531,0.0010030419986819753,0.00021990693345874074
240,2014,Wisconsin,0.0010524579455708032,1.28,5753199,0.000998053430795632,0.00018650493403756763
241,2014,West Virginia,0.0010877735442450403,1.28,1850569,0.0009845620455114076,0.00016265267601478248
242,2014,Wyoming,0.0012981022328387283,1.36,583159,0.000980864566953438,0.00015776143384565788
243,2013,Alaska,0.0026381933391718838,1.55,737626,0.0009435676074324928,0.00022640199776038263
244,2013,Alabama,0.000970488779460823,1.55,4831586,0.0009949114017633134,0.00014984727582205925
245,2013,Arkansas,0.0012876381669193865,1.28,2960459,0.0009633641269816606,0.0001530168125956144
246,2013,Arizona,0.0015919357196794424,1.95,6634690,0.0009845222610250063,0.00020422958721507713
